protocol,direction,method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,log_loss,brier_score,auroc,pr_auc,average_precision,subject
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.5251962738392084,0.4938577468489852,0,0.29166666666666663,0.41666666666666663,4
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.7089767758769614,0.26537211484578321,0.75,0.79166666666666663,0.83333333333333326,5
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.76948072162236347,0.28995994501617067,0.75,0.79166666666666663,0.83333333333333326,5
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.93042743343752665,0.34305567130181058,0.25,0.33333333333333331,0.5,6
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,1.4150252549726594,0.43784074173472082,0,0.29166666666666663,0.41666666666666663,6
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.73324820230372567,0.27779512462897032,1,1,1,7
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.80416291350940161,0.30774979587728074,1,1,1,7
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.71687264834066,0.2615764575185125,0.75,0.79166666666666663,0.83333333333333326,8
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.7687687838706854,0.4492632858461319,0.5,0.70833333333333326,0.75,8
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.64689737231099764,0.23152931247058905,0.75,0.79166666666666663,0.83333333333333326,9
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,1.1193131624142461,0.3558115909662114,0.75,0.79166666666666663,0.83333333333333326,9
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.62691444567508581,0.23259593155234792,0.5,0.41666666666666663,0.58333333333333326,10
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,0,1,,0,0.64333878714928394,0.24415783001304775,0.5,0.41666666666666663,0.58333333333333326,10
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.51645766421907269,0.17380156689862505,1,1,1,11
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.49991913437067403,0.17414616651674145,1,1,1,11
loso,arithmetic,cbsf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.69705225633838208,0.25232284105230279,0.75,0.79166666666666663,0.83333333333333326,12
loso,arithmetic,dasf_double_exclusion_gain,4,2,2,0.5,0.5,1,0,0.5,0.66666666666666663,1.2528914689949004,0.41888728740975723,1,1,1,12
