method,setting,subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,training_rows,training_subjects,gain,delta_cov,margin,selected_fusion,direction
cbsf_target_task_gain,cross_task,1,0.22187677260455338,0.26222701313558594,0.4540688346257069,0.6897521828290607,0.7873369000355168,0.0029171199932956126,-0.08064653811115961,-0.08064653811115961,0.6312139727598559,False,1.0831703895362714,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,2,0.2900675827925915,0.42381896090792975,0.27756264432202404,0.6832486710047612,0.8840391014358838,0.19079148542317353,0.0008222522660539452,0.0008222522660539452,0.48083683141000455,False,1.1673850001702057,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,2,0.2637030371191232,0.28559653764587506,0.108112357420995,0.593869815105671,0.9520042478877844,0.006308248607958301,-0.05110916743521307,-0.05110916743521307,0.9117514847288075,False,0.3870491776836088,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,3,0.17893585737650364,0.26684386261646453,0.25427863776914317,0.6322808080773001,0.8934342038967964,0.022112666279219633,-0.029837914228245003,-0.029837914228245003,0.827414163143791,False,0.30702435491018076,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,3,0.22121184301012428,0.10375494379435192,0.003208532978277021,0.31776867662878067,0.9989883558455755,0.0015564600588745619,-0.0750408083353059,-0.0750408083353059,0.9952839164108503,False,1.7512238683081418,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,4,0.27386038490479336,0.038734274244094875,0.012557571251635433,0.08978050069828213,0.9955731080833425,0.008445255627115173,-0.04082504471047008,-0.04082504471047008,0.999656794924558,False,5.325203097391893,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,4,0.5090601017328309,0.12667220537967575,0.027316331634902106,0.30888229361603897,0.98846476417432,0.00891275965610297,-0.039828871752388084,-0.039828871752388084,0.9977922984127736,False,3.1461057651466575,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,5,0.12877554144792652,0.32278292785088714,0.19021906135621844,0.5821623594119081,0.9185811901572575,0.09682627846803338,-0.0014567062414132803,-0.0014567062414132803,0.7639400938196024,False,0.47278008188435,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,5,0.13162274860166678,0.1064630950093908,0.018381466700783795,0.05263546411477031,0.9925435955529193,0.014988073833479595,-0.02931951600256148,-0.02931951600256148,0.9969873212062101,False,3.3199712006061946,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,6,0.7925127381001926,0.30234971377786096,0.5185966925367146,0.6748609311014583,0.7465190791083163,0.004771874414571938,-0.08375257159675759,-0.08375257159675759,0.37130450293365963,False,2.7700846315157137,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,6,0.5072419208394682,0.8248441786140401,0.19587504449368048,0.10895409457444506,0.9182819080551964,0.7999999998941671,0.4566142800935959,0.4566142800935959,0.03387867227109525,False,4.772560944849899,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,7,1.7286051483147622,0.25627621547951673,0.15076803948068218,0.5940672677997854,0.9343735962632536,0.2911909242977955,0.023340446085761017,0.023340446085761017,0.6900464017371307,False,7.3477557068408546,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,7,1.7199132864564608,0.23978550239721952,0.5634022149074805,0.6927453560695938,0.7334765398284663,0.5636827898711532,0.03323612075904358,0.03323612075904358,0.31699575488646253,False,7.305250838533731,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,8,0.07583813029092243,0.28015300552104533,0.163751844312819,0.6248946735464542,0.9310028586345281,0.02060881418717577,-0.03242578279345611,-0.03242578279345611,0.8046020347123662,False,0.651541872593205,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,8,0.08396741354298072,0.30511121731560925,0.17861998495936396,0.6255331762690209,0.9219209052319884,0.0470383106444494,-0.01807876208879126,-0.01807876208879126,0.7476455419765633,False,0.6240904880325308,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,9,0.18221479792773482,0.4506173644474731,0.04169976353175271,0.6901466185230007,0.9843021753765641,0.7501312870850421,0.07561443184779013,0.07561443184779013,0.42794686486121647,False,1.3794029078528975,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,9,0.16002789378465665,0.2516033059317974,0.3312905688657608,0.6469594205083948,0.8451111501377231,0.0061213090865204515,-0.05814255244283356,-0.05814255244283356,0.7832108274127064,False,0.49735624359363767,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,10,0.4986805554730603,0.60118399597437,0.2503760532926861,0.5634176294674623,0.902738233102574,0.7970678137533405,0.11741397313976688,0.11741397313976688,0.10620287984503021,False,2.803018312485308,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,10,0.205241030891679,0.33004323380283473,0.3620003578258709,0.5774251051461693,0.8541447404757162,0.26311959608458335,0.012987428353004857,0.012987428353004857,0.5450152436233257,False,0.5468141207257885,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,11,0.3647722847742064,0.3152014229301188,0.48820642505414547,0.6526217292124339,0.7626788095259988,9.757268922302644e-05,-0.14050670525164005,-0.14050670525164005,0.7945248560166084,False,1.3579052795346458,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,11,0.3785086491371609,0.008308050155066332,0.002235611488912464,0.0011500693859015719,0.9991068740296294,0.00038426634297500877,-0.10283760621293256,-0.10283760621293256,0.9994681336092426,False,3.6096260204137156,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,12,0.23023410289805074,0.398996401327783,0.42018722954552956,0.2757697977309463,0.7990395946730432,0.7999216942825389,0.1966628894702833,0.1966628894702833,0.24059838962765884,False,2.227702784605685,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,12,0.20302523238718462,0.35872269956114017,0.42744293775498315,0.6743400617826703,0.8030958077615366,0.7075863461759666,0.05632596951927892,0.05632596951927892,0.31228541848706004,False,1.066024557574406,24.0,12.0,,,,,stroop_to_arithmetic
cbsf_target_task_gain,cross_task,13,0.5327583428302731,0.4009130176150417,0.12387720206593744,0.6224729588405662,0.9465548750877408,0.4860390388885305,0.03810604136996948,0.03810604136996948,0.5873127085605325,False,1.3501828920164274,24.0,12.0,,,,,arithmetic_to_stroop
cbsf_target_task_gain,cross_task,13,0.4080181939546279,0.34921755992322867,0.39391997826743735,0.685448104041092,0.8208668719312657,0.2164974766638051,0.003914187234245619,0.003914187234245619,0.4748716982684331,False,0.8010455601867456,24.0,12.0,,,,,stroop_to_arithmetic
