bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
2,0.20000000000000001,0.40000000000000002,False,8,0.26749138295283259,0.875,0.60750861704716741,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
3,0.40000000000000002,0.60000000000000009,False,4,0.45907129652699796,0.75,0.29092870347300204,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
4,0.60000000000000009,0.80000000000000004,False,3,0.671547267318787,0.66666666666666663,0.0048806006521203704,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
5,0.80000000000000004,1,True,14,0.94356254731055489,0.7142857142857143,0.22927683302484059,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
1,0,0.20000000000000001,False,16,0.0671524073671904,0.625,0.55784759263280959,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
2,0.20000000000000001,0.40000000000000002,False,6,0.29821811342102966,0.83333333333333337,0.53511521991230371,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
3,0.40000000000000002,0.60000000000000009,False,9,0.46907771305608481,0.66666666666666663,0.19758895361058182,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
4,0.60000000000000009,0.80000000000000004,False,4,0.65996069690167469,0.75,0.090039303098325307,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
5,0.80000000000000004,1,True,4,0.96044154727268116,0.5,0.46044154727268116,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
1,0,0.20000000000000001,False,1,0.16443792276966901,0,0.16443792276966901,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking
2,0.20000000000000001,0.40000000000000002,False,12,0.34387071551529197,0.16666666666666666,0.17720404884862531,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking
3,0.40000000000000002,0.60000000000000009,False,40,0.51745869134972111,0.59999999999999998,0.082541308650278866,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking
4,0.60000000000000009,0.80000000000000004,False,7,0.64350016728488491,0.5714285714285714,0.072071595856313508,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking
5,0.80000000000000004,1,True,0,,,,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Neural-classical stacking
