protocol,direction,subject,kind,replicates,n_training_people,n_original_training_rows,full_weight,weight_min,weight_max,weight_q025,weight_median,weight_q975,fraction_weight_gt_0_4,fraction_same_side_of_0_4_as_full,ood_fallback_fraction,benefit_q025,benefit_q975,catastrophe_q025,catastrophe_q975,single_class_catastrophe_fraction
loso,arithmetic,6,leave_one_meta_row_out,14,14,14,0.002061522781659518,0.0001457345321898689,0.45898295841011044,0.00021357635398550691,0.0023487232383994951,0.31119126140740294,0.071428571428571425,0.9285714285714286,0,-0.13157151329208586,-0.013965789711210642,0.32101024194797256,0.69714308722982343,0
loso,arithmetic,6,row_bootstrap,1000,14,14,0.002061522781659518,0,0.7999970070105753,1.0504676584090063e-06,0.0018589854991158429,0.79920762863479289,0.129,0.871,0.0080000000000000002,-0.21417544775727027,0.14366070675392445,0.0018757903663435048,0.89070109236293471,0.018000000000000016
loso,arithmetic,7,leave_one_meta_row_out,14,14,14,0.7763462272680659,0.71543569296689224,0.79948047693315694,0.72557664314292136,0.77200376245034219,0.79624154737587038,1,1,0,0.047716203440180766,0.12720223538494108,0.00024078110686666374,0.039593564259357387,0.071428571428571397
loso,arithmetic,7,row_bootstrap,1000,14,14,0.7763462272680659,0,0.7999970184926839,0,0.76339660072476156,0.7999970130370776,0.79400000000000004,0.79400000000000004,0.045999999999999999,-0.008460729016460564,0.25,0,0.050353622597892028,0.37
loso,arithmetic,8,leave_one_meta_row_out,14,14,14,0.25111161494289019,0.1831347472008753,0.52637826274859023,0.18489933742166997,0.25011477327731457,0.49823020940833634,0.14285714285714285,0.8571428571428571,0,-0.012062827845115554,0.015440389999173167,0.049332496865051527,0.25605920175570679,0.071428571428571397
loso,arithmetic,8,row_bootstrap,1000,14,14,0.25111161494289019,0,0.79999416855728045,0.0058640279658883424,0.40000000000000002,0.77058851790712279,0.29999999999999999,0.69999999999999996,0.0070000000000000001,-0.057896547486123683,0.070352162956781039,0,0.55167123956611186,0.35099999999999998
loso,arithmetic,9,leave_one_meta_row_out,14,14,14,0.52081040374531251,0.25615080800167672,0.76478437666568788,0.31504596752637776,0.52558193396313224,0.72853496133200757,0.9285714285714286,0.9285714285714286,0,0.00084360231089671868,0.058563726959931409,0.056388609681660047,0.24508472143185148,0.071428571428571397
loso,arithmetic,9,row_bootstrap,1000,14,14,0.52081040374531251,4.8156702801220544e-07,0.79999701799788525,0.0035363210558720759,0.5148166431975123,0.79762664585255494,0.627,0.627,0,-0.089360526268836865,0.12646178938934555,0,0.45939975951988826,0.35899999999999999
loso,arithmetic,10,leave_one_meta_row_out,14,14,14,0.66884640864546552,0.31833465231845165,0.78698789138286585,0.3882946978346169,0.66559179575426475,0.78279572363221483,0.9285714285714286,0.9285714285714286,0,0.019938534878473566,0.086099766741178377,0.17275350114756094,0.48726760457162094,0
loso,arithmetic,10,row_bootstrap,1000,14,14,0.66884640864546552,3.8990457284739074e-07,0.79999999853139525,0.006578662551474098,0.70160209613969893,0.79986769215966314,0.72499999999999998,0.72499999999999998,0,-0.07081452799172322,0.17963789914115752,0,0.66927869174050236,0.11799999999999999
loso,arithmetic,11,leave_one_meta_row_out,14,14,14,0.22516591672316336,0.14382772590960621,0.49248803190970913,0.14762892955664056,0.22006442318431924,0.46692550343856881,0.14285714285714285,0.8571428571428571,0,-0.028066580059487728,0.0073810191641409031,0.0055208931726222765,0.042384687980833592,0.071428571428571397
loso,arithmetic,11,row_bootstrap,1000,14,14,0.22516591672316336,0,0.79999701868857276,0.0061906053729069788,0.39451436081762259,0.78366831465519426,0.252,0.748,0.002,-0.089924517067631646,0.079265668384363511,0,0.2283897448409978,0.36499999999999999
loso,arithmetic,12,leave_one_meta_row_out,14,14,14,0.47352853243419901,0.2295286737923978,0.68769722550132883,0.24988231330934241,0.50191214566588704,0.68212259230214967,0.8571428571428571,0.8571428571428571,0,-0.0024521985364262004,0.041734468601123287,0.12114296157345263,0.27793038844119888,0
loso,arithmetic,12,row_bootstrap,1000,14,14,0.47352853243419901,1.0080909148396405e-05,0.7999425404893401,0.035276881673856161,0.60403909190516203,0.79764442580430239,0.69899999999999995,0.69899999999999995,0,-0.046305423929002748,0.12239019958628658,0,0.45308320935968177,0.094999999999999973
loso,arithmetic,13,leave_one_meta_row_out,14,14,14,0.044256918488128405,0.0003388050053025342,0.69826950882444416,0.0033738307512347775,0.045937464423559747,0.4927018975759469,0.071428571428571425,0.9285714285714286,0,-0.10417433519450291,0.017675714847823796,0.14190429289729317,0.58581830874792151,0.071428571428571397
loso,arithmetic,13,row_bootstrap,1000,14,14,0.044256918488128405,0,0.79996531277427008,7.5446400169114585e-07,0.034075710105746823,0.79520211690412312,0.25700000000000001,0.74299999999999999,0.0060000000000000001,-0.23219344780357154,0.10644933503234864,0,0.80359360323547968,0.34799999999999998
loso,arithmetic,14,leave_one_meta_row_out,14,14,14,0.0045039808182707553,1.3306539200063982e-06,0.40000000000000002,0.00039093702993548037,0.0065818521970957104,0.27870241477758118,0,1,0,-0.20753713500581333,-0.019622606389208187,0.027341145333101041,0.28876987197851212,0.071428571428571397
loso,arithmetic,14,row_bootstrap,1000,14,14,0.0045039808182707553,0,0.7999993628134896,8.593441804056026e-12,0.031814408515874124,0.76623209846077489,0.095000000000000001,0.90500000000000003,0.0060000000000000001,-0.44978044661462119,0.063711123206831061,0,0.76555262646303657,0.34199999999999997
loso,arithmetic,15,leave_one_meta_row_out,14,14,14,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0.40000000000000002,0,1,0,0,0,0,0,1
loso,arithmetic,15,row_bootstrap,1000,14,14,0.40000000000000002,0,0.77821863580159012,0.40000000000000002,0.40000000000000002,0.44065356373970926,0.029000000000000001,0.97099999999999997,0.0040000000000000001,0,0.0040797144088087489,0,0,1
loso,stroop,1,leave_one_meta_row_out,12,12,12,0.79959098161507414,0.40000000000000002,0.79999701868857276,0.49881059744563683,0.79948374837991287,0.79999460963223945,0.91666666666666663,0.91666666666666663,0,0.016095532633966653,0.24246071752907158,0,0,1
loso,stroop,1,row_bootstrap,1000,12,12,0.79959098161507414,0,0.79999701868857276,0,0.78131261373661842,0.79999701868857276,0.59299999999999997,0.59299999999999997,0.11799999999999999,0,0.25,0,0,1
loso,stroop,2,leave_one_meta_row_out,12,12,12,0.0034842377058440992,0.0002510926517399352,0.027437448907692365,0.00029229706080940001,0.004173575700901001,0.02225150900728352,0,1,0,-0.11771208397008745,-0.041923522359113438,0.58957806140061886,0.82515460791134898,0
loso,stroop,2,row_bootstrap,1000,12,12,0.0034842377058440992,0,0.7871944986514412,2.5249883392657158e-07,0.0047019174469153588,0.40000000000000002,0.023,0.97699999999999998,0.0060000000000000001,-0.25,0.0012363399304711154,0,0.98790665537310962,0.11699999999999999
loso,stroop,3,leave_one_meta_row_out,12,12,12,0.018401808283562859,0.0004588730930463819,0.15663812497844129,0.00079337346177671994,0.019041812883673678,0.15600302444281222,0,1,0,-0.11890710219820558,-0.015800630769288337,0.16417432198540827,0.56692633308229901,0
loso,stroop,3,row_bootstrap,1000,12,12,0.018401808283562859,0,0.79999685611106985,3.4143981447089926e-07,0.030049182030373864,0.77257433320472935,0.14599999999999999,0.85399999999999998,0.0040000000000000001,-0.25,0.068913891473540975,0,0.87187550008799608,0.098999999999999977
