dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,loso,stroop,Stroop LOSO,always_fuse,Neural-classical stacking,13,52,26,26,16,10,9,17,0.63461538461538458,0.63461538461538458,0.65384615384615385,0.61538461538461542,0.62962962962962965,0.64150943396226412,0.63461538461538458,0.57488472907287058,0.59955713545895528,0.66705852179245662,0.23712849972481242,0.033275572079342175,0.1770876466445154,0.049395207658705656,0.86016251262738608,estimated
openbci,loso,stroop,Stroop LOSO,always_nn,Feature-MLP (neural reference),13,52,26,26,20,6,12,14,0.65384615384615385,0.65384615384615385,0.53846153846153844,0.76923076923076927,0.69999999999999996,0.60869565217391308,0.63165680473372776,0.70475691021449194,0.71085036696457748,1.5272289981767335,0.2958734681813005,0.2314434333169208,0.37098021773083084,0.20728346760511382,0.096983677702744839,estimated
openbci,loso,stroop,Stroop LOSO,cbsf,CB-SF,13,52,26,26,16,10,12,14,0.57692307692307687,0.57692307692307687,0.53846153846153844,0.61538461538461542,0.58333333333333337,0.56000000000000005,0.66124260355029596,0.71076105089123554,0.71680608682937197,0.98901891724563518,0.25981986365251336,0.18038040214071727,0.27670173556861516,0.13174564041267858,0.15256673218276218,estimated
openbci,loso,stroop,Stroop LOSO,dasf_clean,DASF,13,52,26,26,20,6,12,14,0.65384615384615385,0.65384615384615385,0.53846153846153844,0.76923076923076927,0.69999999999999996,0.60869565217391308,0.63165680473372776,0.70475691021449194,0.71085036696457748,1.5272289981767335,0.2958734681813005,0.2314434333169208,0.37098021773083084,0.20728346760511382,0.096983677702744839,estimated
openbci,loso,stroop,Stroop LOSO,eeg_conformer,EEG-Conformer,13,52,26,26,10,16,7,19,0.55769230769230771,0.55769230769230771,0.73076923076923073,0.38461538461538464,0.54285714285714282,0.62295081967213117,0.63313609467455623,0.57564796111145111,0.5969113006237351,0.79279747586441351,0.26284541623833363,0.11893407705884851,0.29343604052837835,-0.014627810386022913,0.21759292974548375,estimated
openbci,loso,stroop,Stroop LOSO,eegnet,EEGNet,13,52,26,26,19,7,14,12,0.59615384615384615,0.59615384615384615,0.46153846153846156,0.73076923076923073,0.63157894736842102,0.53333333333333333,0.65976331360946738,0.63090599118902657,0.64527900195811061,0.67997821652829038,0.2406283286084655,0.095629883789065076,0.34091606274346115,0.18389725221164005,0.50687478009181863,estimated
openbci,loso,stroop,Stroop LOSO,equal_blend_050,Equal blend (50%),13,52,26,26,19,7,12,14,0.63461538461538458,0.63461538461538458,0.53846153846153844,0.73076923076923073,0.66666666666666663,0.5957446808510638,0.65680473372781067,0.69037184720204192,0.69804532137093256,0.68347083335365888,0.24126524724226978,0.11139736650375287,0.25038945261321266,0.16478102771081057,0.5575557777514013,estimated
openbci,loso,stroop,Stroop LOSO,extra_trees,Extra Trees,13,52,26,26,23,3,17,9,0.61538461538461542,0.61538461538461542,0.34615384615384615,0.88461538461538458,0.75,0.47368421052631576,0.7174556213017752,0.64021477596204623,0.6638212176605548,0.64668384109481691,0.23013023223671253,0.11523274668797484,0.14779482732474747,0.59566371997661627,1.1695768913798659,estimated
openbci,loso,stroop,Stroop LOSO,fixed_blend_010,Fixed blend (10%),13,52,26,26,19,7,12,14,0.63461538461538458,0.63461538461538458,0.53846153846153844,0.73076923076923073,0.66666666666666663,0.5957446808510638,0.64940828402366868,0.70554488048384445,0.7118764560925821,0.85223406840683724,0.27602373866500896,0.2186043533012253,0.48419516560374654,0.21707093988697723,0.29637652577098184,estimated
openbci,loso,stroop,Stroop LOSO,fixed_blend_025,Fixed blend (25%),13,52,26,26,19,7,12,14,0.63461538461538458,0.63461538461538458,0.53846153846153844,0.73076923076923073,0.66666666666666663,0.5957446808510638,0.65976331360946749,0.71079207736447336,0.71706612068033226,0.74732752947285441,0.25818697582064593,0.19376220771376146,0.33752883471755191,0.1960964334650338,0.39764085583774528,estimated
openbci,loso,stroop,Stroop LOSO,rf,Random forest,13,52,26,26,23,3,20,6,0.55769230769230771,0.55769230769230771,0.23076923076923078,0.88461538461538458,0.66666666666666663,0.34285714285714286,0.68934911242603558,0.66485525383687205,0.67589194900231686,0.68695733510217116,0.24534754278240439,0.14409082662105199,0.17461300429183016,0.58387041122553218,0.86333898192365999,estimated
openbci,loso,stroop,Stroop LOSO,riemann_mdm,Riemannian MDM,13,52,26,26,17,9,11,15,0.61538461538461542,0.61538461538461542,0.57692307692307687,0.65384615384615385,0.625,0.59999999999999998,0.59171597633136097,0.55231629845217911,0.5771196421023741,0.88553042173674001,0.2820702008125901,0.15602586133613761,0.37251647221157891,0.00016677269300932035,0.066111993561417684,estimated
openbci,loso,stroop,Stroop LOSO,riemann_ts_logreg,Riemannian TS-LR,13,52,26,26,15,11,16,10,0.48076923076923078,0.48076923076923073,0.38461538461538464,0.57692307692307687,0.47619047619047616,0.42553191489361702,0.50887573964497046,0.50088717031051355,0.52231619422905884,0.97811543493001873,0.3140635977415171,0.18473738598465919,0.36460924648146531,-0.02112246870240592,-0.058828177877131516,estimated
openbci,loso,stroop,Stroop LOSO,stack_recording,OOF recording-level stacking,13,52,26,26,14,12,9,17,0.59615384615384615,0.59615384615384615,0.65384615384615385,0.53846153846153844,0.58620689655172409,0.61818181818181817,0.62573964497041423,0.67484014352627841,0.68309659830131297,0.73608594913643222,0.25834918199137785,0.13252335332683349,0.51310166689478132,0.056190870259120479,0.30756415072506044,estimated
