task,task_display,variant,variant_display,variant_role,held_out_subject,train_participants,validation_participants,train_recordings,validation_recordings,train_windows,validation_windows,participant_overlap,recording_overlap,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,2,12,1,48,4,7504,859,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.5,0.70833333333333326,0.75,1.1662319590071062,0.40645855962998939
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,3,12,1,48,4,7793,570,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.26549092727047213,0.090599657020943844
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,4,12,1,48,4,7904,459,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.75,0.79166666666666663,0.83333333333333326,1.1392203623882353,0.34537173510906033
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,5,12,1,48,4,7703,660,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,1,1,1,0.4560185751389742,0.17167270532105924
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,6,12,1,48,4,7822,541,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.5,0.70833333333333326,0.75,1.9661086293837962,0.48122350881815301
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,7,12,1,48,4,7822,541,0,0,4,2,2,1,1,2,0,0.25,0.25,0,0.5,0,0,0.5,0.41666666666666663,0.58333333333333326,2.3461042240762024,0.61928094487883412
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,8,12,1,48,4,7617,746,0,0,4,2,2,2,0,1,1,0.75,0.75,0.5,1,1,0.66666666666666663,0.75,0.79166666666666663,0.83333333333333326,0.5645463958316651,0.19338039567009163
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,9,12,1,48,4,7490,873,0,0,4,2,2,2,0,0,2,1,1,1,1,1,1,1,1,1,0.32245068149866485,0.082398044563865389
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,10,12,1,48,4,7770,593,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.25,0.33333333333333331,0.5,4.6773053624906922,0.49953924645966685
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,11,12,1,48,4,7691,672,0,0,4,2,2,1,1,0,2,0.75,0.75,1,0.5,0.66666666666666663,0.80000000000000004,0.75,0.79166666666666663,0.83333333333333326,0.4692070812405677,0.16327834893706575
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,12,12,1,48,4,7740,623,0,0,4,2,2,0,2,0,2,0.5,0.5,1,0,0.5,0.66666666666666663,0.75,0.79166666666666663,0.83333333333333326,0.8373751039931796,0.304979617136236
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,13,12,1,48,4,7790,573,0,0,4,2,2,2,0,2,0,0.5,0.5,0,1,,0,0.75,0.79166666666666663,0.83333333333333326,0.77560590886624337,0.29961674926428977
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,1,12,1,48,4,7710,653,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,0.66666666666666674,0.25,0.5,0.6400991002002232,0.21133202714798427
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,2,12,1,48,4,7504,859,0,0,4,3,1,2,1,1,0,0.5,0.33333333333333331,0,0.66666666666666663,0,0,0.66666666666666674,0.25,0.5,0.55246525872902397,0.1876041098544064
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,3,12,1,48,4,7793,570,0,0,4,3,1,2,1,0,1,0.75,0.83333333333333326,1,0.66666666666666663,0.5,0.66666666666666663,1,1,1,0.37641532984500115,0.12196777991598989
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,12,1,48,4,7904,459,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,1,1,1,2.2788102470726623,0.4952709202010801
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,12,1,48,4,7703,660,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,1,1,1,1.2202994327170069,0.37313208106145712
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,12,1,48,4,7822,541,0,0,4,3,1,1,2,1,0,0.25,0.16666666666666666,0,0.33333333333333331,0,0,0.33333333333333337,0.16666666666666666,0.33333333333333331,7.1140320477153898,0.52032846865099469
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,12,1,48,4,7822,541,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,0,0.125,0.25,1.4830812533969617,0.28458280334345176
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,8,12,1,48,4,7617,746,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,1,1,1,0.3750435464189481,0.12749657815696844
stroop,Stroop,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,9,12,1,48,4,7490,873,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,0.66666666666666674,0.25,0.5,0.81095456875626104,0.30436188108708379
