task,strategy,strategy_label,held_out_subject,split_seed,fold,train_windows,validation_windows,train_recordings,validation_recordings,train_participants,validation_participants,overlapping_recordings,recording_overlap_rate,overlapping_participants,participant_overlap_rate,nominal_adjacent_window_raw_overlap,validation_window_accuracy,validation_window_log_loss,validation_recording_accuracy
arithmetic,recording_disjoint,Recording-disjoint split,6,1441,1,249,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4252199413489736,3.674074363001214,0.5
arithmetic,recording_disjoint,Recording-disjoint split,6,1441,2,341,249,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5220883534136547,4.2829379336456626,0.5
arithmetic,random_window,Random-window split,6,1494,1,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9859154929577465,0.06416272842937167,1.0
arithmetic,random_window,Random-window split,6,1494,2,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9577464788732394,0.08886972099398908,1.0
arithmetic,recording_disjoint,Recording-disjoint split,6,1494,1,249,341,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4252199413489736,3.674074363001214,0.5
arithmetic,recording_disjoint,Recording-disjoint split,6,1494,2,341,249,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5220883534136547,4.2829379336456626,0.5
arithmetic,random_window,Random-window split,6,1547,1,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.971830985915493,0.07043397209995571,1.0
arithmetic,random_window,Random-window split,6,1547,2,519,71,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9436619718309859,0.12633787022860204,1.0
arithmetic,recording_disjoint,Recording-disjoint split,6,1547,1,310,280,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5428571428571428,2.0888622756591038,0.5
arithmetic,recording_disjoint,Recording-disjoint split,6,1547,2,280,310,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5903225806451613,3.549963566011105,0.5
arithmetic,random_window,Random-window split,7,1335,1,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9767441860465116,0.05820916726301397,1.0
arithmetic,random_window,Random-window split,7,1335,2,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.024382087696135587,1.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1335,1,138,215,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.34418604651162793,12.912928393384291,0.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1335,2,215,138,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.7318840579710145,2.025581795969029,0.5
arithmetic,random_window,Random-window split,7,1388,1,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.012849267443693947,1.0
arithmetic,random_window,Random-window split,7,1388,2,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9302325581395349,0.3164059250196168,1.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1388,1,82,271,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5129151291512916,9.603013922832046,0.5
arithmetic,recording_disjoint,Recording-disjoint split,7,1388,2,271,82,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5609756097560976,3.447002703593498,0.5
arithmetic,random_window,Random-window split,7,1441,1,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.014273342497461579,1.0
arithmetic,random_window,Random-window split,7,1441,2,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.013568208725982111,1.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1441,1,82,271,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5129151291512916,9.603013922832046,0.5
arithmetic,recording_disjoint,Recording-disjoint split,7,1441,2,271,82,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5609756097560976,3.447002703593498,0.5
arithmetic,random_window,Random-window split,7,1494,1,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.013690949065824687,1.0
arithmetic,random_window,Random-window split,7,1494,2,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9767441860465116,0.0535829964460057,1.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1494,1,82,271,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5129151291512916,9.603013922832046,0.5
arithmetic,recording_disjoint,Recording-disjoint split,7,1494,2,271,82,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5609756097560976,3.447002703593498,0.5
arithmetic,random_window,Random-window split,7,1547,1,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.9767441860465116,0.04623928411488987,1.0
arithmetic,random_window,Random-window split,7,1547,2,310,43,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.028368656982097677,1.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1547,1,138,215,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.34418604651162793,12.912928393384291,0.0
arithmetic,recording_disjoint,Recording-disjoint split,7,1547,2,215,138,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.7318840579710145,2.025581795969029,0.5
arithmetic,random_window,Random-window split,8,1335,1,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.984,0.13164466365210006,1.0
arithmetic,random_window,Random-window split,8,1335,2,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.928,0.1979338173015342,1.0
arithmetic,recording_disjoint,Recording-disjoint split,8,1335,1,589,449,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5100222717149221,1.7241331555143642,0.5
arithmetic,recording_disjoint,Recording-disjoint split,8,1335,2,449,589,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.5568760611205433,2.279494312400412,0.5
arithmetic,random_window,Random-window split,8,1388,1,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.904,0.21566055764434847,1.0
arithmetic,random_window,Random-window split,8,1388,2,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.92,0.1944972490301116,1.0
arithmetic,recording_disjoint,Recording-disjoint split,8,1388,1,537,501,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4311377245508982,2.7353989766434177,0.0
arithmetic,recording_disjoint,Recording-disjoint split,8,1388,2,501,537,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4823091247672253,3.070814003515111,0.5
arithmetic,random_window,Random-window split,8,1441,1,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.92,0.19530282798913415,1.0
arithmetic,random_window,Random-window split,8,1441,2,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.912,0.21741967383352856,1.0
arithmetic,recording_disjoint,Recording-disjoint split,8,1441,1,537,501,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4311377245508982,2.7353989766434177,0.0
arithmetic,recording_disjoint,Recording-disjoint split,8,1441,2,501,537,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.4823091247672253,3.070814003515111,0.5
arithmetic,random_window,Random-window split,8,1494,1,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.952,0.17818731136311253,1.0
arithmetic,random_window,Random-window split,8,1494,2,913,125,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,0.92,0.21539865501201785,1.0
