dataset,direction,subject,method,n_recordings,accuracy,direction_label,method_label
openbci,arithmetic_to_stroop,13,stack_recording,4,1.0,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,14,stack_recording,4,0.75,Arithmetic to Stroop,Recording-level stacker
openbci,arithmetic_to_stroop,15,stack_recording,4,0.5,Arithmetic to Stroop,Recording-level stacker
openbci,stroop_to_arithmetic,1,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,2,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,3,always_fuse,4,0.75,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,4,always_fuse,4,1.0,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,5,always_fuse,4,0.25,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,6,always_fuse,4,0.25,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,7,always_fuse,4,0.75,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,8,always_fuse,4,0.75,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,9,always_fuse,4,0.75,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,10,always_fuse,4,0.25,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,11,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,12,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,13,always_fuse,4,0.75,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,14,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,15,always_fuse,4,0.5,Stroop to Arithmetic,Always-fuse
openbci,stroop_to_arithmetic,1,always_nn,4,1.0,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,2,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,3,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,4,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,5,always_nn,4,0.25,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,6,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,7,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,8,always_nn,4,1.0,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,9,always_nn,4,0.5,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,10,always_nn,4,0.25,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,11,always_nn,4,0.5,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,12,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,13,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,14,always_nn,4,0.75,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,15,always_nn,4,0.5,Stroop to Arithmetic,Always-NN
openbci,stroop_to_arithmetic,1,cbsf,4,1.0,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,2,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,3,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,4,cbsf,4,1.0,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,5,cbsf,4,0.25,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,6,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,7,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,8,cbsf,4,1.0,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,9,cbsf,4,0.5,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,10,cbsf,4,0.5,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,11,cbsf,4,0.25,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,12,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,13,cbsf,4,0.75,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,14,cbsf,4,0.5,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,15,cbsf,4,0.5,Stroop to Arithmetic,CB-SF
openbci,stroop_to_arithmetic,1,dasf_clean,4,1.0,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,2,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,3,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,4,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,5,dasf_clean,4,0.25,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,6,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,7,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,8,dasf_clean,4,1.0,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,9,dasf_clean,4,0.5,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,10,dasf_clean,4,0.25,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,11,dasf_clean,4,0.5,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,12,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,13,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,14,dasf_clean,4,0.75,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,15,dasf_clean,4,0.5,Stroop to Arithmetic,DASF
openbci,stroop_to_arithmetic,1,eeg_conformer,4,0.75,Stroop to Arithmetic,EEG-Conformer
