variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,split_seed,fold,train_windows,train_recordings,validation_windows,validation_recordings,recording_accuracy,recording_balanced_accuracy,recording_log_loss,analysis_digest
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1441,1,208,2,330,2,0.5,0.5,0.6016744039806244,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1441,2,330,2,208,2,0.5,0.5,1.7716399885199263,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1494,1,208,2,330,2,0.5,0.5,0.6016744039806244,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1494,2,330,2,208,2,0.5,0.5,1.7716399885199263,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1547,1,241,2,297,2,0.5,0.5,5.246362664861573,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1547,2,297,2,241,2,0.5,0.5,1.8298352773758606,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1335,1,366,2,406,2,0.5,0.5,7.209686558585451,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1335,2,406,2,366,2,0.5,0.5,2.8941178750462253,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1388,1,317,2,455,2,0.5,0.5,5.708828993217093,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1388,2,455,2,317,2,0.5,0.5,2.834168423823624,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1441,1,317,2,455,2,0.5,0.5,5.708828993217093,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1441,2,455,2,317,2,0.5,0.5,2.834168423823624,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1494,1,317,2,455,2,0.5,0.5,5.708828993217093,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1494,2,455,2,317,2,0.5,0.5,2.834168423823624,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1547,1,366,2,406,2,0.5,0.5,7.209686558585451,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1547,2,406,2,366,2,0.5,0.5,2.8941178750462253,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1335,1,335,2,320,2,0.5,0.5,1.1624236430348387,1e552215c77f44ad8a12bea9eda3e11d1fc539d12c7489a0abf60ae3927ba841
