model,protocol,direction,subject,seed,selected_epoch,inner_folds,inner_epoch_mean,inner_epoch_standard_deviation,inner_epoch_minimum,inner_epoch_maximum,inner_epoch_range,outer_training_recordings,outer_test_recordings,parameter_count
Residual MLP,loso,arithmetic,12,1441,4,14,9.5714285714285712,14.053273835462878,1,52,51,56,4,
Residual MLP,loso,arithmetic,12,1494,6,14,9.8571428571428577,10.501700542565203,1,33,32,56,4,
Residual MLP,loso,arithmetic,12,1547,11,14,12.714285714285714,14.062654150559267,1,53,52,56,4,
Residual MLP,loso,arithmetic,13,1335,7,14,7.9285714285714288,7.1086543756865153,1,26,25,56,4,
Residual MLP,loso,arithmetic,13,1388,8,14,9.2857142857142865,8.2688346442304912,1,26,25,56,4,
Residual MLP,loso,arithmetic,13,1441,9,14,13.5,13.882750780402608,1,42,41,56,4,
Residual MLP,loso,arithmetic,13,1494,2,14,6.7857142857142856,7.0403078104536077,1,18,17,56,4,
Residual MLP,loso,arithmetic,13,1547,8,14,10.785714285714286,10.415805825235559,1,35,34,56,4,
Residual MLP,loso,arithmetic,14,1335,3,14,7.2857142857142856,8.6418353768929599,1,27,26,56,4,
Residual MLP,loso,arithmetic,14,1388,7,14,8.5,6.9476061178819544,1,20,19,56,4,
Residual MLP,loso,arithmetic,14,1441,2,14,3.7142857142857144,3.2916811563644548,1,12,11,56,4,
Residual MLP,loso,arithmetic,14,1494,4,14,8.0714285714285712,9.8797717640586278,1,35,34,56,4,
Residual MLP,loso,arithmetic,14,1547,2,14,6.0714285714285712,8.9138119767046895,1,31,30,56,4,
Residual MLP,loso,arithmetic,15,1335,4,14,7.7857142857142856,8.6039219270907221,1,25,24,56,4,
Residual MLP,loso,arithmetic,15,1388,1,14,7.5,8.9421215861527212,1,25,24,56,4,
Residual MLP,loso,arithmetic,15,1441,2,14,10.214285714285714,12.47260734834277,1,43,42,56,4,
Residual MLP,loso,arithmetic,15,1494,4,14,8.4285714285714288,10.803947182639995,1,35,34,56,4,
Residual MLP,loso,arithmetic,15,1547,3,14,8.6428571428571423,11.02170685411393,1,36,35,56,4,
Residual MLP,loso,stroop,1,1335,3,12,6.916666666666667,6.5290725129062457,1,19,18,48,4,
Residual MLP,loso,stroop,1,1388,9,12,11.166666666666666,11.191176177794015,1,31,30,48,4,
Residual MLP,loso,stroop,1,1441,9,12,8.8333333333333339,7.2090011076221217,1,19,18,48,4,
Residual MLP,loso,stroop,1,1494,6,12,9,12.591483413222388,1,46,45,48,4,
Residual MLP,loso,stroop,1,1547,3,12,7,7.7342214746011653,1,21,20,48,4,
Residual MLP,loso,stroop,2,1335,3,12,8.6666666666666661,10.093502260305286,1,28,27,48,4,
Residual MLP,loso,stroop,2,1388,6,12,10.333333333333334,11.641097521932863,1,39,38,48,4,
Residual MLP,loso,stroop,2,1441,5,12,11.583333333333334,14.437692672202498,1,49,48,48,4,
Residual MLP,loso,stroop,2,1494,3,12,8.5833333333333339,11.024421925338251,1,30,29,48,4,
Residual MLP,loso,stroop,2,1547,6,12,6.916666666666667,5.5013772380333563,1,15,14,48,4,
Residual MLP,loso,stroop,3,1335,5,12,7.75,8.6877656924708049,1,26,25,48,4,
Residual MLP,loso,stroop,3,1388,2,12,8.25,11.670670308707443,1,32,31,48,4,
Residual MLP,loso,stroop,3,1441,4,12,5.75,5.0113507524056189,1,15,14,48,4,
Residual MLP,loso,stroop,3,1494,2,12,5.666666666666667,7.2278921022954021,1,24,23,48,4,
Residual MLP,loso,stroop,3,1547,2,12,4.166666666666667,5.63807403178415,1,21,20,48,4,
Residual MLP,loso,stroop,4,1335,2,12,10.25,15.562922137392626,1,49,48,48,4,
Residual MLP,loso,stroop,4,1388,3,12,6.166666666666667,6.1913918736689029,1,16,15,48,4,
Residual MLP,loso,stroop,4,1441,2,12,6.166666666666667,6.9913366303438629,1,23,22,48,4,
Residual MLP,loso,stroop,4,1494,5,12,11,10.711081772037442,1,25,24,48,4,
Residual MLP,loso,stroop,4,1547,5,12,7.416666666666667,6.9994588535417677,1,23,22,48,4,
Residual MLP,loso,stroop,5,1335,3,12,7,8.7282196455988768,1,27,26,48,4,
Residual MLP,loso,stroop,5,1388,2,12,8.8333333333333339,12.408452642037885,1,38,37,48,4,
Residual MLP,loso,stroop,5,1441,4,12,10.833333333333334,12.119355918479656,1,33,32,48,4,
Residual MLP,loso,stroop,5,1494,2,12,4.5,4.9635031617158898,1,17,16,48,4,
Residual MLP,loso,stroop,5,1547,7,12,8.1666666666666661,7.7791485083620513,1,26,25,48,4,
Residual MLP,loso,stroop,6,1335,4,12,7.75,10.037429949942366,1,36,35,48,4,
Residual MLP,loso,stroop,6,1388,7,12,8.3333333333333339,7.2905085660408595,1,23,22,48,4,
Residual MLP,loso,stroop,6,1441,5,12,6.416666666666667,5.2821884812561493,1,15,14,48,4,
Residual MLP,loso,stroop,6,1494,4,12,6.083333333333333,5.86915408700178,1,17,16,48,4,
Residual MLP,loso,stroop,6,1547,2,12,8.5833333333333339,14.015954112973176,1,50,49,48,4,
Residual MLP,loso,stroop,7,1335,3,12,5.75,6.7840052529996813,1,25,24,48,4,
Residual MLP,loso,stroop,7,1388,1,12,9.8333333333333339,12.83343171941822,1,36,35,48,4,
Residual MLP,loso,stroop,7,1441,9,12,10.833333333333334,11.312369202324373,1,33,32,48,4,
Residual MLP,loso,stroop,7,1494,6,12,8.3333333333333339,7.4264066109737854,1,22,21,48,4,
Residual MLP,loso,stroop,7,1547,3,12,6.75,7.1239034243875032,1,21,20,48,4,
Residual MLP,loso,stroop,8,1335,3,12,6.166666666666667,5.98229711631567,1,16,15,48,4,
Residual MLP,loso,stroop,8,1388,2,12,5.333333333333333,6.8666960870214107,1,20,19,48,4,
Residual MLP,loso,stroop,8,1441,1,12,3.3333333333333335,4.5990776413880159,1,17,16,48,4,
Residual MLP,loso,stroop,8,1494,3,12,4.166666666666667,4.1959576506514695,1,15,14,48,4,
Residual MLP,loso,stroop,8,1547,1,12,2.6666666666666665,3.312053286059415,1,11,10,48,4,
Residual MLP,loso,stroop,9,1335,2,12,9.5,14.279674047718698,1,47,46,48,4,
Residual MLP,loso,stroop,9,1388,2,12,4.916666666666667,5.8536442935278794,1,17,16,48,4,
Residual MLP,loso,stroop,9,1441,2,12,5.416666666666667,7.7981155454767439,1,25,24,48,4,
Residual MLP,loso,stroop,9,1494,5,12,7.583333333333333,7.3417651250578109,1,22,21,48,4,
Residual MLP,loso,stroop,9,1547,1,12,5.833333333333333,9.0537117785854537,1,32,31,48,4,
Residual MLP,loso,stroop,10,1335,1,12,5.25,7.2000631310363588,1,22,21,48,4,
Residual MLP,loso,stroop,10,1388,1,12,9.0833333333333339,13.813421229391581,1,47,46,48,4,
Residual MLP,loso,stroop,10,1441,2,12,6.25,6.8373971655886718,1,19,18,48,4,
Residual MLP,loso,stroop,10,1494,7,12,8.8333333333333339,7.7087121119057507,1,20,19,48,4,
Residual MLP,loso,stroop,10,1547,5,12,7.666666666666667,7.5236999279650041,1,25,24,48,4,
Residual MLP,loso,stroop,11,1335,3,12,8.1666666666666661,9.4564392042799295,1,28,27,48,4,
Residual MLP,loso,stroop,11,1388,3,12,6,8.2682305461105976,1,30,29,48,4,
Residual MLP,loso,stroop,11,1441,1,12,6.416666666666667,13.627901414733563,1,49,48,48,4,
Residual MLP,loso,stroop,11,1494,1,12,10.166666666666666,26.511861267719166,1,94,93,48,4,
Residual MLP,loso,stroop,11,1547,5,12,6.083333333333333,5.6802422056767545,1,18,17,48,4,
Residual MLP,loso,stroop,12,1335,6,12,12.5,13.159856313114448,1,42,41,48,4,
