setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,1388,13,39,0.61538461538461542,0.59615384615384615,0.61538461538461542,0.59615384615384615,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,1441,13,39,0.61538461538461542,0.59615384615384615,0.61538461538461542,0.59615384615384615,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,1494,13,39,0.61538461538461542,0.59615384615384615,0.61538461538461542,0.59615384615384615,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,1547,13,39,0.61538461538461542,0.59615384615384615,0.61538461538461542,0.59615384615384615,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,1335,13,39,0.51282051282051277,0.51923076923076927,0.51282051282051277,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,1388,13,39,0.51282051282051277,0.51923076923076927,0.51282051282051277,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,1441,13,39,0.53846153846153844,0.53846153846153844,0.53846153846153844,0.53846153846153844,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,1494,13,39,0.51282051282051277,0.51923076923076927,0.51282051282051277,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,1547,13,39,0.51282051282051277,0.51923076923076927,0.51282051282051277,0.51923076923076916,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,1335,13,39,0.64102564102564108,0.57692307692307687,0.64102564102564108,0.57692307692307698,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,1388,13,39,0.64102564102564108,0.57692307692307687,0.64102564102564108,0.57692307692307698,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,1441,13,39,0.64102564102564108,0.57692307692307687,0.64102564102564108,0.57692307692307698,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,1494,13,39,0.64102564102564108,0.57692307692307687,0.64102564102564108,0.57692307692307698,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,1547,13,39,0.64102564102564108,0.57692307692307687,0.64102564102564108,0.57692307692307698,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,1335,13,39,0.46153846153846156,0.48076923076923078,0.46153846153846156,0.48076923076923073,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,1388,13,39,0.46153846153846156,0.48076923076923078,0.46153846153846156,0.48076923076923073,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,1441,13,39,0.46153846153846156,0.48076923076923078,0.46153846153846156,0.48076923076923073,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,1494,13,39,0.46153846153846156,0.48076923076923078,0.46153846153846156,0.48076923076923073,True
cross_task_stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR,1547,13,39,0.46153846153846156,0.48076923076923078,0.46153846153846156,0.48076923076923073,True
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,1335,15,60,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,True
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,1388,15,60,0.65000000000000002,0.65000000000000002,0.65000000000000002,0.64999999999999991,True
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,1441,15,60,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,True
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,1494,15,60,0.59999999999999998,0.59999999999999998,0.59999999999999998,0.59999999999999998,True
loso_arithmetic,Arithmetic LOSO,always_fuse,Always fused,1547,15,60,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.6166666666666667,True
