protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion_seed,selected_input_method_seed,gate_source_recordings,inner_folds,selected_epoch,task,used_fusion_final,selected_input_method_final,seed_decision_agrees_with_final,diagnostic_only_not_statistical_replicate
cross_task,9,stroop_to_arithmetic,1547,0.33333333333333331,1,0.66666666666666674,0.1487745985609607,0.049754919712192099,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,9,arithmetic_to_stroop,1335,0.33333333333333331,1,0.66666666666666674,0.1487745985609607,0.049754919712192099,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,9,arithmetic_to_stroop,1388,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.1487745985609607,0.049754919712192099,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,9,arithmetic_to_stroop,1441,0.66666666666666663,1,0.33333333333333331,0.1487745985609607,0.049754919712192099,True,always_fuse,3,2,3,,True,always_fuse,True,True
cross_task,9,arithmetic_to_stroop,1494,0.33333333333333331,0.33333333333333331,0,0.1487745985609607,0.049754919712192099,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,9,arithmetic_to_stroop,1547,0.33333333333333331,1,0.66666666666666674,0.1487745985609607,0.049754919712192099,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,stroop_to_arithmetic,1335,0.33333333333333331,1,0.66666666666666674,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,stroop_to_arithmetic,1388,0.33333333333333331,1,0.66666666666666674,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,stroop_to_arithmetic,1441,0.33333333333333331,1,0.66666666666666674,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,stroop_to_arithmetic,1494,0.66666666666666663,1,0.33333333333333331,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,stroop_to_arithmetic,1547,0.33333333333333331,1,0.66666666666666674,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,arithmetic_to_stroop,1335,0.66666666666666663,1,0.33333333333333331,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,arithmetic_to_stroop,1388,0.66666666666666663,1,0.33333333333333331,0.070633223505680603,0.034126644701136098,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,10,arithmetic_to_stroop,1441,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.070633223505680603,0.034126644701136098,False,always_nn,3,2,1,,True,always_fuse,False,True
