protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects,weight_at_zero,weight_at_frozen_cap_0_8,target_batch_recordings,gate_level,seed_level_gate_weight_available
loso,4,stroop,0.40000000000000002,0,-0.047381225572867003,0,False,2.4257278539043523,0.58695160345536412,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,5,stroop,0.2279558732419929,0.0063400958963851003,0.0063400958963851003,0.49482754243769328,False,1.2087701727107678,0.22593668169103731,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,6,stroop,0.38499392408611821,0,0.047318024431208201,0.030026243324443699,False,2.8684176416622771,0.75764097356339666,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,7,stroop,0.0003035786869702,-0.12110511471036391,-0.12110511471036391,0.72843635348719826,False,0.93125621614302956,0.38024589524096569,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,8,stroop,0.0027401254203676,-0.079326120819771306,-0.079326120819771306,0.68274838296657703,False,0.86310654699251166,0.34034107068725689,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,9,stroop,0.068685197228718506,-0.0276568033824631,-0.0276568033824631,0.39298805536063458,False,1.6655395629490517,0.23235008150622349,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,10,stroop,0.00019734751698609999,-0.13406092494480509,-0.13406092494480509,0.64164312973209614,False,0.86593922189510752,0.38225730302860911,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,11,stroop,0.60991950606862178,0.043920041953419101,0.043920041953419101,0.41204909647635668,False,0.97823860969942578,0.3414848974319511,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,12,stroop,0.045016960206612999,-0.038311895939223697,-0.038311895939223697,0.36162447037664092,False,0.58641213296528505,0.2894893789988407,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,13,stroop,0.56694106492495333,0.028044551017907999,0.028044551017907999,0.20530542252769979,False,0.39888235626812513,0.32601048236892399,12,12,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
