bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
5,0.80000000000000004,1,True,20,0.9124092887046753,0.69999999999999996,0.21240928870467535,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
1,0,0.20000000000000001,False,1,0.081287474268926796,0,0.081287474268926796,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
2,0.20000000000000001,0.40000000000000002,False,3,0.32859813212011052,0.33333333333333331,0.004735201213222795,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
3,0.40000000000000002,0.60000000000000009,False,18,0.52028991420480242,0.77777777777777779,0.25748786357297537,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
4,0.60000000000000009,0.80000000000000004,False,11,0.69067893466642216,0.63636363636363635,0.054315298302785808,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
5,0.80000000000000004,1,True,6,0.92534261865760914,0.66666666666666663,0.25867595199094251,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet
1,0,0.20000000000000001,False,3,0.13652989057282233,0.66666666666666663,0.53013677609384424,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
2,0.20000000000000001,0.40000000000000002,False,6,0.30983706473412725,0.83333333333333337,0.52349626859920617,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
3,0.40000000000000002,0.60000000000000009,False,19,0.50591819934965232,0.57894736842105265,0.073029169071400335,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
4,0.60000000000000009,0.80000000000000004,False,6,0.66316512617865164,0.83333333333333337,0.17016820715468173,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
5,0.80000000000000004,1,True,5,0.91870314537696385,0.59999999999999998,0.31870314537696387,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%)
1,0,0.20000000000000001,False,0,,,,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
2,0.20000000000000001,0.40000000000000002,False,6,0.3227955447925745,0.66666666666666663,0.34387112187409213,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
3,0.40000000000000002,0.60000000000000009,False,17,0.48389492473359352,0.58823529411764708,0.10434036938405356,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
4,0.60000000000000009,0.80000000000000004,False,12,0.66670500937391486,0.75,0.083294990626085141,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
5,0.80000000000000004,1,True,4,0.90576292343476639,0.75,0.15576292343476639,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees
1,0,0.20000000000000001,False,5,0.090619584293951033,0.59999999999999998,0.50938041570604897,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
2,0.20000000000000001,0.40000000000000002,False,5,0.31557189995877305,0.80000000000000004,0.48442810004122699,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
3,0.40000000000000002,0.60000000000000009,False,12,0.50794559246066273,0.58333333333333337,0.075387740872670639,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
4,0.60000000000000009,0.80000000000000004,False,9,0.69257063967501165,0.77777777777777779,0.085207138102766145,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
5,0.80000000000000004,1,True,8,0.92898213101523908,0.625,0.30398213101523908,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%)
1,0,0.20000000000000001,False,4,0.10675452869882708,0.75,0.64324547130117293,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
2,0.20000000000000001,0.40000000000000002,False,5,0.30670142104725739,0.59999999999999998,0.29329857895274258,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
3,0.40000000000000002,0.60000000000000009,False,15,0.5046761668114299,0.59999999999999998,0.095323833188570073,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
4,0.60000000000000009,0.80000000000000004,False,9,0.67657237549420446,0.88888888888888884,0.21231651339468438,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
5,0.80000000000000004,1,True,6,0.93253636558170505,0.5,0.43253636558170505,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%)
1,0,0.20000000000000001,False,4,0.16452084021260513,0.5,0.33547915978739484,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
2,0.20000000000000001,0.40000000000000002,False,6,0.28851832658664545,0.83333333333333337,0.54481500674668792,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
3,0.40000000000000002,0.60000000000000009,False,17,0.49064596045230158,0.6470588235294118,0.15641286307711022,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
4,0.60000000000000009,0.80000000000000004,False,7,0.67857053169750048,0.7142857142857143,0.035715182588213823,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
5,0.80000000000000004,1,True,5,0.92042944654208103,0.59999999999999998,0.32042944654208105,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest
1,0,0.20000000000000001,False,7,0.01573495749401305,0.5714285714285714,0.55569361393455829,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
2,0.20000000000000001,0.40000000000000002,False,3,0.33463661809580475,0.66666666666666663,0.33203004857086188,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
3,0.40000000000000002,0.60000000000000009,False,4,0.53746400862427224,0.75,0.21253599137572776,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
4,0.60000000000000009,0.80000000000000004,False,13,0.68896647977674352,0.61538461538461542,0.073581864392128105,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
5,0.80000000000000004,1,True,12,0.9096247933079642,0.75,0.1596247933079642,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM
1,0,0.20000000000000001,False,13,0.056626887188015528,0.53846153846153844,0.48183465127352293,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
2,0.20000000000000001,0.40000000000000002,False,5,0.29556703579103338,1,0.70443296420896662,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
3,0.40000000000000002,0.60000000000000009,False,7,0.48868463588402244,0.7142857142857143,0.22560107840169186,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
4,0.60000000000000009,0.80000000000000004,False,5,0.70564780180750597,0.59999999999999998,0.10564780180750599,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
5,0.80000000000000004,1,True,9,0.93506422360123276,0.66666666666666663,0.26839755693456613,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_ts_logreg,Riemannian TS-LR
1,0,0.20000000000000001,False,12,0.042875956913163898,0.66666666666666663,0.6237907097535027,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
2,0.20000000000000001,0.40000000000000002,False,3,0.26925347033287511,0.66666666666666663,0.39741319633379152,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
3,0.40000000000000002,0.60000000000000009,False,13,0.49177667607475006,0.76923076923076927,0.27745409315601921,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
4,0.60000000000000009,0.80000000000000004,False,4,0.67297587406873816,0.5,0.17297587406873816,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
5,0.80000000000000004,1,True,7,0.98127854719164442,0.5714285714285714,0.40984997576307303,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,stack_recording,OOF recording-level stacking
1,0,0.20000000000000001,False,1,0.1523706162586333,0,0.1523706162586333,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused
2,0.20000000000000001,0.40000000000000002,False,12,0.29460989720590514,0.16666666666666666,0.12794323053923848,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused
3,0.40000000000000002,0.60000000000000009,False,34,0.49805025534260788,0.61764705882352944,0.11959680348092155,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused
4,0.60000000000000009,0.80000000000000004,False,13,0.64078264312613287,0.53846153846153844,0.10232110466459443,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused
5,0.80000000000000004,1,True,0,,,,openbci,loso,arithmetic,Arithmetic LOSO,always_fuse,Always fused
1,0,0.20000000000000001,False,29,0.048494961429045774,0.34482758620689657,0.29633262477785083,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Always neural
2,0.20000000000000001,0.40000000000000002,False,5,0.27692155534982749,0.80000000000000004,0.52307844465017261,openbci,loso,arithmetic,Arithmetic LOSO,always_nn,Always neural
