dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,loso,arithmetic,Arithmetic LOSO,dasf_clean,DASF,15,60,30,30,20,10,15,15,0.58333333333333337,0.58333333333333326,0.5,0.66666666666666663,0.59999999999999998,0.54545454545454541,0.65666666666666673,0.5782436994329917,0.60030625209632138,1.0531598693213935,0.30856192535002858,0.26001048040211439,0.39428446545705359,0.29797324421698967,0.19941506343241075,estimated
openbci,loso,arithmetic,Arithmetic LOSO,eeg_conformer,EEG-Conformer,15,60,30,30,21,9,11,19,0.66666666666666663,0.66666666666666663,0.6333333333333333,0.69999999999999996,0.6785714285714286,0.65517241379310343,0.67333333333333334,0.67652249159196332,0.68808458486622881,0.93543138472069254,0.26858317795265751,0.20231496011616198,0.47882107626021275,0.082434777370040652,0.22788913070079525,estimated
openbci,loso,arithmetic,Arithmetic LOSO,eegnet,EEGNet,15,60,30,30,18,12,11,19,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.59999999999999998,0.61290322580645162,0.62295081967213117,0.65222222222222226,0.59140174668054613,0.61301798740065894,0.66228576232511815,0.23562694116310778,0.048662259903040517,0.32492069178606853,0.037161934861722118,0.59824433129435473,estimated
openbci,loso,arithmetic,Arithmetic LOSO,equal_blend_050,Equal blend (50%),15,60,30,30,20,10,14,16,0.59999999999999998,0.59999999999999998,0.53333333333333333,0.66666666666666663,0.61538461538461542,0.5714285714285714,0.66222222222222227,0.58586336341357803,0.60780521624452155,0.68129480009169796,0.24431606915906573,0.12925862859162685,0.30783353482279419,0.16434277952805085,0.56829699174453996,estimated
openbci,loso,arithmetic,Arithmetic LOSO,extra_trees,Extra Trees,15,60,30,30,21,9,20,10,0.51666666666666672,0.51666666666666661,0.33333333333333331,0.69999999999999996,0.52631578947368418,0.40816326530612246,0.61888888888888882,0.55151862693271225,0.57081461581235438,0.68032517544423743,0.24525645898653139,0.1184429660505492,0.15894936692470729,0.15018108581315384,0.61490459504163197,estimated
openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_010,Fixed blend (10%),15,60,30,30,20,10,15,15,0.58333333333333337,0.58333333333333326,0.5,0.66666666666666663,0.59999999999999998,0.54545454545454541,0.66222222222222227,0.58596604198468449,0.60790656856064529,0.83006994646457422,0.28561557615205341,0.22928731347679498,0.26992253087841261,0.20575753027812616,0.30543635066536418,estimated
openbci,loso,arithmetic,Arithmetic LOSO,fixed_blend_025,Fixed blend (25%),15,60,30,30,20,10,15,15,0.58333333333333337,0.58333333333333326,0.5,0.66666666666666663,0.59999999999999998,0.54545454545454541,0.65999999999999992,0.58521499865651172,0.60715726186974306,0.74494967041175075,0.2657367544213452,0.18697327646159162,0.25900216218418598,0.18269899232492565,0.39309972385680991,estimated
openbci,loso,arithmetic,Arithmetic LOSO,rf,Random forest,15,60,30,30,19,11,18,12,0.51666666666666672,0.51666666666666661,0.40000000000000002,0.6333333333333333,0.52173913043478259,0.45283018867924529,0.62888888888888883,0.56747526375316615,0.58903797401703895,0.67311447461646867,0.24143127554831695,0.096229781445539037,0.3418606561166273,0.14929539834231004,0.61393393293149956,estimated
openbci,loso,arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,15,60,30,30,17,13,15,15,0.53333333333333333,0.53333333333333333,0.5,0.56666666666666665,0.5357142857142857,0.51724137931034486,0.56555555555555559,0.55814746379843294,0.57924636587851597,0.86377802745954491,0.29393415905349446,0.19993440096808435,0.30618662162233823,0.0042802376071476847,0.15755215422895413,estimated
openbci,loso,arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,15,60,30,30,13,17,13,17,0.5,0.5,0.56666666666666665,0.43333333333333335,0.5,0.53125,0.5377777777777778,0.52993302369992479,0.5519148212140137,0.99669179931684404,0.32877323893966603,0.25804202269569554,0.40032157256122858,-0.027479861697715116,0.07737564199588165,estimated
