dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),precision,13,12,0.70833333333333337,0.14433756729740643,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),f1,13,13,0.69487179487179496,0.22764745072888876,0.80000000000000004,0.66666666666666663,0.80000000000000004,0,0.80000000000000004
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),auroc,13,13,0.57692307692307687,0.40032038451271784,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),pr_auc,13,13,0.78525641025641013,0.23064306855230893,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),average_precision,13,13,0.83974358974358987,0.16478640236548164,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),log_loss,13,13,0.85728850366617892,0.61084483348208818,0.65617221561006089,0.5935813494313269,0.77427325291939642,0.46563564516282047,2.8168511002631522
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,fixed_blend_025,Fixed blend (25%),brier_score,13,13,0.25520973235135036,0.075925171751077006,0.23039455522233218,0.20686295467202606,0.28632046957004575,0.14982701386272149,0.43145730693338796
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,accuracy,13,13,0.66666666666666674,0.19245008972987526,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,balanced_accuracy,13,13,0.61538461538461542,0.2192645048267573,0.5,0.5,0.75,0.25,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,sensitivity,13,13,0.76923076923076927,0.33011264588676237,1,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,specificity,13,13,0.46153846153846156,0.51887452166277082,0,0,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,precision,13,12,0.79166666666666663,0.18969672765983203,0.66666666666666663,0.66666666666666663,1,0.5,1
